,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
6985,22.0,16,3,13,13.0,2.3,0.9,2.8,31.8,0.3,1.4,18.2,0.3,1.0,31.3,0.3,1.6,1.9,1.1,0.6,0.6,0.1,0.9,7.7,0,0,-1.0
6986,21.0,33,22,11,10.9,2.2,0.9,2.7,34.8,0.1,0.3,27.3,0.3,0.4,64.3,0.2,2.0,2.2,0.8,0.3,0.5,0.2,0.8,7.8,0,0,-1.1
6987,35.0,52,31,21,13.5,2.1,0.7,2.2,32.5,0.6,1.9,32.7,0.1,0.1,75.0,0.1,1.7,1.8,0.9,0.4,0.3,0.1,1.4,6.1,0,0,-1.4
6988,21.0,35,2,33,7.5,2.1,0.7,1.9,38.8,0.1,0.5,26.3,0.5,0.7,66.7,0.4,0.7,1.1,0.3,0.3,0.2,0.0,0.4,4.2,0,0,0.8
6989,20.0,1,0,1,13.6,2.0,1.0,3.0,33.3,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0,0,-18.0
6990,24.0,21,15,6,4.8,2.0,0.8,1.8,42.1,0.3,0.9,36.8,0.1,0.1,100.0,0.0,0.3,0.3,0.4,0.5,0.1,0.0,0.3,3.0,0,0,-0.9
6991,26.0,29,15,14,6.2,1.9,0.9,2.0,45.6,0.0,0.0,0.0,0.1,0.2,66.7,0.6,1.4,1.9,0.1,0.4,0.2,0.0,1.4,4.8,0,0,-2.1
6992,24.0,36,19,17,9.4,1.9,0.7,1.9,34.3,0.4,1.3,32.6,0.2,0.3,66.7,0.0,1.4,1.4,0.2,0.2,0.3,0.1,0.5,4.9,0,0,-0.2
6993,24.0,42,27,15,8.6,1.9,0.7,1.2,61.2,0.0,0.0,0.0,0.5,0.9,51.3,0.6,1.3,1.9,0.2,0.3,0.2,0.3,1.3,5.5,0,0,-0.6
6994,24.0,30,9,21,6.4,1.9,0.6,1.8,34.5,0.3,1.0,33.3,0.3,0.3,100.0,0.1,0.4,0.5,0.4,0.3,0.3,0.1,0.7,4.0,0,0,-1.5
6995,24.0,19,12,7,4.7,1.8,0.6,1.7,36.4,0.2,0.7,30.8,0.4,0.7,53.8,0.1,0.4,0.5,0.5,0.4,0.2,0.0,0.6,3.3,0,0,-0.3
6996,32.0,35,12,23,5.6,1.8,0.6,1.6,39.3,0.5,1.4,39.6,0.0,0.1,0.0,0.1,0.6,0.6,0.3,0.1,0.0,0.1,0.7,3.1,0,0,-1.5
6997,32.0,49,25,24,8.3,1.8,0.7,1.3,58.1,0.0,0.0,0.0,0.3,0.4,68.2,0.7,1.2,1.9,0.1,0.2,0.2,1.0,1.1,7.7,0,0,0.2
6998,32.0,29,17,12,8.8,1.7,0.8,1.6,47.8,0.0,0.0,0.0,0.2,0.4,54.5,0.6,1.1,1.8,0.7,0.3,0.3,0.1,1.3,6.0,0,0,1.3
6999,19.0,8,7,1,2.9,1.3,0.5,1.5,33.3,0.3,0.4,66.7,0.0,0.0,0.0,0.1,0.1,0.3,0.0,0.5,0.0,0.1,0.4,1.4,0,0,-3.4
7000,37.0,23,13,10,5.6,1.2,0.6,1.3,43.3,0.0,0.0,0.0,0.0,0.1,33.3,0.5,1.2,1.7,0.1,0.3,0.2,0.2,0.7,4.2,0,0,0.4
7001,22.0,6,3,3,3.8,1.0,0.3,1.3,25.0,0.0,0.0,0.0,0.3,0.7,50.0,0.3,1.5,1.8,0.2,0.3,0.3,0.0,1.0,4.1,0,0,-1.8
7002,29.0,33,27,6,8.2,0.9,0.3,1.6,20.4,0.1,0.8,11.1,0.2,0.3,45.5,0.1,1.1,1.2,0.4,0.3,0.2,0.4,0.8,4.2,0,0,-3.8
7003,23.0,3,0,3,0.7,0.7,0.3,0.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.3,1.1,0,0,0.3
7004,34.0,33,23,10,3.7,0.6,0.2,0.6,28.6,0.0,0.1,0.0,0.3,0.3,81.8,0.0,0.3,0.3,0.1,0.0,0.1,0.0,0.7,1.4,0,0,-2.5
7005,24.0,18,12,6,3.5,0.6,0.2,0.8,21.4,0.0,0.0,0.0,0.2,0.3,80.0,0.3,0.1,0.4,0.1,0.2,0.1,0.1,0.4,1.5,0,0,-1.1
7006,24.0,2,2,0,3.9,0.0,0.0,1.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,1.0,2.0,0,0,-2.0
7007,28.0,79,71,8,34.2,30.1,10.2,20.2,50.4,5.1,11.2,45.4,4.6,5.1,90.8,0.9,4.6,5.4,6.7,3.3,2.1,0.2,2.0,50.3,15,2,12.9
7008,26.0,82,41,41,38.1,29.0,8.7,19.7,43.9,2.9,8.0,35.9,8.8,10.2,86.0,0.8,5.3,6.1,7.5,4.6,1.7,0.6,2.8,49.9,23,3,1.5
7009,27.0,72,52,20,35.8,28.2,9.7,19.2,50.5,2.6,6.7,38.7,6.2,6.9,89.8,0.6,7.6,8.2,5.0,3.5,1.0,1.2,1.9,48.5,27,1,9.0
7010,25.0,65,29,36,34.6,26.9,9.2,20.5,45.1,1.1,3.2,33.3,7.3,10.2,71.8,2.4,9.1,11.5,3.3,3.8,1.6,1.4,3.6,50.7,47,1,0.6
7011,31.0,76,56,20,35.6,25.3,9.7,18.6,52.0,1.1,3.7,30.9,4.7,6.5,73.1,1.5,6.0,7.4,6.8,3.3,1.4,0.6,1.9,47.1,28,3,8.1
7012,25.0,75,40,35,35.7,25.1,8.2,19.7,41.9,3.1,8.1,37.5,5.5,6.2,89.2,0.6,3.4,4.0,6.8,3.2,0.9,0.4,2.2,40.6,15,0,1.3
7013,23.0,61,24,37,35.5,24.3,9.2,18.6,49.3,0.6,1.8,32.4,5.3,7.0,75.8,2.1,8.1,10.3,1.9,2.0,1.3,2.0,2.4,47.5,36,0,-3.3
7014,27.0,80,55,25,34.4,23.5,8.2,18.1,45.4,1.3,4.3,29.6,5.8,7.2,81.2,1.8,6.0,7.8,10.4,4.3,2.0,0.3,2.5,51.1,54,18,7.9
7015,26.0,78,53,25,35.9,23.5,7.9,17.7,44.6,0.6,1.8,33.8,7.1,8.4,85.0,0.8,3.7,4.5,4.0,2.2,1.0,0.3,2.1,36.6,3,0,2.2
7016,26.0,81,44,37,34.8,23.1,7.5,17.9,41.8,2.6,7.0,37.1,5.6,6.5,86.0,1.0,6.0,7.0,4.1,3.3,1.9,0.4,2.8,41.0,15,0,2.2
7017,27.0,82,48,34,32.2,22.2,7.2,16.9,42.8,2.0,5.7,35.9,5.8,6.6,87.1,0.6,2.4,3.0,6.2,2.7,1.1,0.1,2.0,36.1,7,0,3.6
7018,26.0,80,71,9,33.3,22.1,8.1,17.3,47.0,3.5,8.1,42.5,2.4,2.8,87.3,0.4,3.4,3.8,2.1,1.7,0.8,0.6,1.9,32.2,0,0,10.5
7019,32.0,72,32,40,35.1,21.8,7.9,18.2,43.4,1.5,4.3,33.9,4.6,5.6,82.9,1.4,6.4,7.7,4.2,2.4,0.9,0.5,2.5,39.1,22,0,-0.6
7020,27.0,35,22,13,33.4,21.4,8.6,17.2,49.9,0.2,0.5,33.3,4.0,5.5,72.7,1.5,6.9,8.4,4.9,2.4,0.8,0.5,2.7,40.3,13,0,5.2
7021,30.0,77,54,23,37.0,21.2,6.6,15.6,42.7,2.8,7.1,38.8,5.2,6.4,81.1,0.7,4.0,4.7,6.4,2.9,2.1,0.4,2.7,41.1,12,1,4.9
7022,25.0,72,60,12,33.1,21.2,7.7,15.1,50.6,1.8,4.0,44.3,4.1,4.6,87.4,1.3,5.5,6.8,2.6,1.5,1.8,1.0,1.8,40.1,12,0,9.1
7023,26.0,67,37,30,36.9,20.9,7.0,15.4,45.4,1.0,3.1,31.2,5.9,7.1,83.2,1.2,4.2,5.3,4.8,2.0,1.6,0.6,1.9,39.4,10,2,-0.2
7024,26.0,81,47,34,35.6,20.9,7.0,16.4,42.7,2.2,6.0,37.1,4.6,5.4,84.7,0.7,3.7,4.4,5.2,2.1,1.6,0.5,1.4,37.9,3,0,3.0
7025,24.0,80,44,36,34.7,20.8,8.0,17.9,44.8,2.5,5.9,41.7,2.3,2.8,82.7,0.6,2.7,3.2,4.3,2.5,1.2,0.3,2.3,33.2,2,0,1.9
7026,21.0,81,29,52,35.1,20.7,7.3,16.0,45.9,0.7,2.3,30.0,5.3,7.0,76.1,1.3,2.3,3.6,2.0,2.2,1.0,0.6,2.0,30.4,1,0,-0.8
7027,28.0,73,21,52,33.7,20.6,8.1,15.8,51.1,0.0,0.2,14.3,4.3,5.5,78.7,2.8,5.1,7.8,2.0,2.4,0.8,1.7,2.9,38.1,26,0,-1.7
7028,26.0,31,12,19,34.2,20.4,7.2,15.9,45.3,1.5,4.2,37.2,4.5,5.5,80.2,0.6,3.5,4.0,6.1,3.5,2.0,0.6,2.4,38.8,3,0,-1.6
7029,25.0,77,37,40,36.2,19.9,7.4,17.5,42.4,1.5,4.3,35.1,3.5,4.5,79.1,0.5,4.4,4.9,10.2,4.1,1.9,0.8,2.1,45.0,49,4,1.3
7030,26.0,80,38,42,36.2,19.7,6.5,15.0,43.3,1.8,5.1,34.9,4.9,6.0,82.4,0.8,4.2,5.0,3.7,2.5,1.2,0.3,2.3,33.3,4,0,1.2
7031,24.0,53,37,16,31.5,19.6,7.4,16.6,44.8,1.6,4.9,32.1,3.2,3.6,88.5,0.8,2.1,3.0,4.7,2.3,1.1,0.3,2.0,32.1,1,0,3.9
7032,24.0,52,16,36,36.0,19.6,7.1,17.2,41.5,2.3,6.8,34.2,3.0,3.5,85.2,0.7,3.2,3.9,5.1,3.4,1.2,0.4,2.4,33.1,4,1,-4.0
7033,27.0,53,22,31,34.7,19.5,5.4,13.2,41.0,1.6,4.5,36.4,7.1,8.2,86.8,1.0,4.3,5.3,2.5,1.5,0.8,0.4,1.6,31.7,3,0,-1.9
7034,31.0,74,50,24,32.7,19.5,7.0,15.1,46.2,1.6,4.4,37.1,4.0,4.4,89.6,0.5,3.7,4.2,10.0,2.6,2.1,0.2,2.5,43.6,38,0,7.5
7035,34.0,74,43,31,30.5,19.0,7.3,16.0,45.6,0.1,0.6,15.9,4.4,5.5,79.3,1.1,3.0,4.1,4.6,2.7,1.1,0.6,1.6,33.1,2,0,-0.1
7036,26.0,79,43,36,30.7,18.8,6.8,15.7,43.4,1.5,4.2,35.3,3.7,4.3,86.4,0.7,2.5,3.2,6.2,2.8,0.7,0.1,2.4,31.9,9,0,1.6
7037,20.0,82,29,53,32.0,18.3,7.6,14.1,54.2,0.4,1.1,34.1,2.7,3.4,81.1,2.8,7.7,10.5,2.0,2.2,0.7,1.7,3.0,38.8,52,0,-1.6
7038,38.0,75,38,37,31.5,18.3,6.6,14.8,44.8,1.7,4.6,36.8,3.3,3.7,89.3,0.7,5.8,6.5,1.8,1.1,0.7,0.7,2.1,31.8,10,0,3.4
7039,25.0,65,28,37,31.3,18.2,8.2,16.1,51.0,0.0,0.1,22.2,1.7,2.3,75.3,2.7,6.2,8.9,2.8,1.9,0.8,1.1,2.7,36.7,29,0,-0.7
7040,24.0,79,33,46,36.1,18.2,6.4,14.5,44.4,1.8,4.6,39.6,3.5,3.9,88.8,0.6,3.3,3.8,4.2,2.3,1.7,0.2,2.6,32.4,1,0,-0.4
7041,30.0,74,61,13,30.6,18.0,7.2,14.1,51.3,0.0,0.2,0.0,3.5,4.1,85.8,2.4,6.2,8.5,1.5,1.3,0.5,1.1,2.0,34.0,26,0,6.9
7042,20.0,53,6,47,30.0,17.5,7.5,14.7,50.8,0.0,0.1,16.7,2.5,3.7,68.6,2.3,4.7,7.0,1.2,2.3,0.4,1.2,2.6,30.2,11,0,-9.4
7043,23.0,55,28,27,31.1,17.4,6.5,14.5,44.9,1.9,4.9,38.7,2.5,3.2,76.7,0.7,2.7,3.4,2.9,2.0,1.0,0.2,2.1,27.4,0,0,-0.4
7044,29.0,70,29,41,34.0,17.2,6.7,14.4,46.3,1.1,3.1,34.4,2.8,3.6,78.0,1.5,5.0,6.5,1.7,2.0,1.4,0.7,2.6,32.1,7,0,-1.2
7045,31.0,81,48,33,32.7,17.1,6.2,13.2,47.0,0.9,2.9,31.9,3.8,5.0,75.7,2.4,6.6,9.0,3.3,2.4,1.8,1.7,2.9,41.1,32,0,2.7
7046,28.0,66,24,42,30.4,17.0,6.0,14.1,42.7,2.0,5.4,36.6,3.0,3.5,87.3,2.0,4.0,6.0,1.1,1.4,0.6,0.4,1.7,27.4,8,0,0.5
7047,21.0,80,32,48,35.3,16.9,6.4,12.7,50.6,0.4,1.4,25.7,3.7,5.1,72.4,1.4,6.2,7.7,4.3,2.6,1.2,1.4,3.2,37.7,21,5,-2.1
7048,26.0,65,27,38,28.2,16.8,6.3,14.4,43.9,1.3,4.0,33.6,2.8,3.3,84.3,0.4,2.6,3.0,6.0,2.6,1.4,0.3,2.3,31.9,5,0,0.4
7049,31.0,52,30,22,34.4,16.6,6.3,13.6,46.4,0.0,0.1,66.7,3.9,4.7,82.9,1.1,5.8,7.0,3.8,2.3,1.0,1.3,2.7,35.2,9,1,0.2
7050,35.0,72,36,36,31.8,16.5,6.5,13.8,46.9,0.3,1.0,34.8,3.2,4.0,79.2,2.2,8.9,11.0,4.1,2.3,0.6,2.0,2.1,41.4,46,2,0.0
7051,24.0,62,30,32,32.0,16.4,6.7,13.1,51.5,0.0,0.1,0.0,2.9,4.1,70.9,2.7,5.4,8.1,1.5,1.7,1.2,1.5,2.4,34.7,19,0,1.6
7052,27.0,66,32,34,31.8,16.4,6.8,15.9,42.7,0.7,2.3,29.3,2.2,2.7,79.3,0.7,2.7,3.4,4.7,2.7,0.7,0.2,1.3,27.5,1,0,-2.5
7053,32.0,75,50,25,28.0,16.3,5.6,11.7,48.0,2.7,5.6,47.5,2.4,2.7,88.8,0.1,1.7,1.9,1.4,1.0,0.6,0.1,1.8,21.5,0,0,6.8
7054,22.0,81,43,38,32.9,16.2,6.8,13.1,52.1,0.0,0.1,33.3,2.6,7.2,35.5,4.9,9.9,14.8,0.8,1.9,1.5,1.4,3.0,41.9,66,0,1.6
7055,27.0,77,53,24,31.5,16.0,5.3,12.7,41.9,2.1,5.7,36.0,3.4,4.1,82.2,1.9,8.0,9.9,2.4,1.8,0.8,0.5,2.1,33.5,35,0,5.6
7056,24.0,72,32,40,33.0,16.0,5.9,13.5,43.8,1.4,3.9,34.8,2.8,3.4,83.0,0.7,4.1,4.8,3.9,2.1,1.6,0.8,2.4,32.6,3,1,-0.3
7057,28.0,79,47,32,28.5,15.7,5.5,12.5,43.9,1.4,3.5,40.1,3.3,3.9,83.7,0.4,2.3,2.7,5.9,2.8,1.2,0.3,2.1,29.7,4,0,0.8
7058,24.0,79,17,62,32.3,15.5,6.0,13.9,43.3,1.4,4.1,34.7,2.1,2.6,80.4,1.2,2.8,4.0,2.4,1.7,1.1,0.1,2.1,25.8,1,0,-7.9
7059,23.0,79,33,46,32.5,15.4,5.4,11.8,46.2,2.0,4.9,40.0,2.5,3.0,83.6,0.4,2.4,2.8,2.7,1.7,1.2,0.0,2.7,24.9,0,0,-2.4
7060,29.0,67,14,53,28.5,15.3,4.2,10.3,40.8,1.6,4.8,34.4,5.3,6.3,83.0,0.5,2.1,2.5,2.5,1.6,0.9,0.3,1.6,24.1,0,0,-6.0
7061,26.0,79,32,47,29.3,15.3,6.2,11.9,52.2,0.0,0.0,0.0,2.9,3.9,74.0,2.8,6.1,8.8,2.3,1.6,0.9,0.8,2.1,32.9,32,0,-1.4
7062,28.0,56,33,23,31.4,15.3,5.3,12.4,42.2,1.4,3.8,36.3,3.4,4.1,83.4,0.5,2.5,2.9,6.1,1.5,1.2,0.3,1.8,30.9,4,0,1.1
7063,34.0,68,37,31,29.7,15.3,6.3,13.3,47.5,0.1,0.4,23.1,2.5,3.2,79.6,2.6,5.1,7.8,2.1,1.5,0.6,0.2,2.1,28.7,17,1,-0.2
7064,27.0,45,14,31,32.9,15.2,5.1,12.3,41.8,2.5,6.5,38.4,2.5,2.8,88.8,0.2,2.0,2.2,2.7,1.6,1.0,0.3,2.2,24.1,0,0,-1.6
7065,30.0,82,48,34,32.1,15.2,6.5,12.8,50.5,1.1,3.1,34.4,1.3,1.6,79.8,1.8,5.5,7.3,3.2,1.3,0.8,1.5,2.0,34.4,17,0,2.8
7066,25.0,76,45,31,33.4,15.2,6.0,13.4,44.7,1.9,5.4,36.1,1.3,1.6,78.0,0.6,2.3,2.9,2.1,1.4,1.5,0.3,2.2,25.7,0,0,2.8
7067,26.0,25,11,14,30.6,15.2,5.4,12.6,43.3,1.3,3.4,38.8,3.0,3.7,79.6,0.8,4.4,5.2,6.6,2.9,1.3,0.3,2.6,33.1,6,0,-0.6
7068,28.0,73,21,52,33.0,15.1,6.8,13.2,51.4,0.1,0.4,23.3,1.4,2.2,64.4,2.4,6.6,9.0,1.9,1.9,1.5,0.5,2.5,33.0,28,0,-3.2
7069,27.0,70,41,29,35.0,14.9,5.3,12.5,42.6,2.0,5.7,34.8,2.3,2.7,84.9,0.8,5.3,6.1,5.8,2.9,0.9,0.6,1.6,32.6,11,2,3.0
7070,23.0,76,37,39,33.1,14.7,5.5,11.7,46.9,1.1,3.1,33.5,2.7,3.2,83.1,1.3,5.4,6.7,2.2,1.4,0.9,0.5,2.0,28.8,12,0,0.3
7071,23.0,79,39,40,32.2,14.5,5.2,12.3,42.0,2.0,5.7,35.9,2.2,2.5,86.0,0.5,2.9,3.4,2.7,1.6,0.9,0.2,2.6,24.4,0,0,1.7
7072,23.0,76,41,35,36.7,14.5,5.3,12.6,42.0,1.5,4.9,30.9,2.4,3.0,81.1,0.9,2.8,3.7,1.8,1.4,1.4,0.2,2.2,25.3,1,0,2.3
7073,25.0,82,33,49,28.7,14.4,5.2,12.0,43.2,1.4,4.0,34.5,2.6,3.3,80.6,0.7,5.1,5.8,2.5,1.7,0.9,0.5,1.8,27.4,6,0,-1.6
7074,20.0,72,28,44,28.4,14.3,5.2,12.3,42.1,1.1,3.4,33.3,2.8,3.3,83.8,1.8,5.5,7.3,1.3,1.7,0.7,1.9,2.8,31.1,21,0,0.2
7075,27.0,73,42,31,29.1,14.2,5.7,9.3,60.6,0.0,0.0,0.0,2.9,4.5,65.0,3.3,8.6,11.8,0.4,1.9,0.6,3.7,2.8,40.0,41,3,1.2
7076,25.0,73,43,30,31.6,14.2,4.9,11.1,44.3,1.7,5.0,33.6,2.7,3.3,82.0,1.0,4.2,5.1,1.8,1.1,1.7,0.5,2.7,28.6,5,0,2.9
7077,36.0,79,51,28,26.9,14.2,4.8,11.9,40.4,1.5,4.4,34.0,3.1,3.4,90.4,0.3,1.6,1.8,2.3,1.4,0.7,0.2,1.5,20.9,0,0,2.1
7078,30.0,72,44,28,32.8,14.1,5.8,12.2,47.7,0.9,2.8,31.2,1.7,2.3,72.7,0.8,3.1,3.8,5.8,2.6,1.0,0.2,2.6,28.6,5,0,2.8
7079,26.0,80,42,38,35.7,14.1,5.1,11.8,43.4,1.4,3.7,36.2,2.5,3.4,74.9,1.1,3.9,5.1,2.5,1.8,0.8,0.3,2.1,25.6,4,0,2.0
7080,32.0,65,31,34,32.4,14.1,4.9,11.9,41.4,1.5,4.3,34.4,2.8,3.2,86.9,0.3,2.6,2.9,5.8,2.3,0.9,0.2,2.4,27.5,4,0,0.0
7081,21.0,76,32,44,31.7,14.1,5.8,11.8,49.3,0.1,0.5,25.7,2.3,3.0,76.8,1.6,3.6,5.2,1.7,1.5,0.9,0.4,2.0,25.2,6,0,-2.5
7082,21.0,82,29,53,28.0,14.0,5.3,11.7,45.2,1.5,3.9,38.9,2.0,2.5,79.3,0.3,2.5,2.8,3.1,1.9,0.8,0.2,2.4,23.2,0,0,-3.6
7083,28.0,74,29,45,30.0,14.0,5.1,10.5,48.6,1.2,2.9,40.1,2.6,3.1,85.8,0.4,1.9,2.3,4.3,1.8,1.0,0.1,1.9,24.7,4,0,-0.9
7084,26.0,81,73,8,34.7,14.0,5.0,10.1,49.0,1.2,3.2,38.8,2.8,4.1,69.6,1.7,7.8,9.5,7.4,3.2,1.5,1.4,3.0,41.8,33,13,13.2
7085,30.0,81,44,37,33.8,13.8,5.4,12.6,42.7,1.1,3.5,30.9,2.0,2.5,78.6,0.5,2.8,3.3,4.7,2.5,1.9,0.5,2.1,29.4,1,0,1.3
7086,19.0,76,20,56,27.7,13.8,4.8,11.4,42.3,1.3,3.8,34.3,2.8,3.4,84.0,0.4,2.1,2.5,2.6,2.1,0.6,0.3,3.0,21.1,3,0,-4.9
7087,30.0,71,34,37,32.1,13.7,5.2,8.5,62.0,0.0,0.1,0.0,3.3,6.7,48.9,3.4,8.4,11.8,1.4,2.3,1.0,1.6,3.1,35.3,38,0,0.2
7088,27.0,61,29,32,29.5,13.7,5.2,10.7,49.2,1.7,4.1,41.4,1.5,2.2,68.4,0.5,4.2,4.7,2.8,1.6,0.8,0.3,1.9,25.2,3,0,-0.1
7089,32.0,75,35,40,30.1,13.5,5.8,10.2,56.7,0.0,0.0,0.0,1.9,2.8,70.5,3.0,6.9,9.9,1.4,1.6,0.6,1.3,2.6,31.6,41,0,0.8
7090,24.0,31,13,18,25.7,13.3,4.4,10.8,41.0,1.0,2.5,40.5,3.4,4.5,75.2,0.5,3.0,3.5,2.0,1.6,0.6,0.1,2.3,21.0,0,0,-0.4
7091,20.0,80,17,63,28.2,13.2,4.9,12.0,41.0,1.6,4.6,35.1,1.8,2.4,73.7,0.6,2.8,3.4,3.3,2.5,1.2,0.2,1.8,23.8,1,0,-6.8
7092,35.0,1,0,1,42.4,13.0,6.0,14.0,42.9,1.0,2.0,50.0,0.0,0.0,0.0,1.0,4.0,5.0,2.0,0.0,1.0,2.0,6.0,31.0,0,0,-1.0
7093,32.0,32,10,22,32.1,12.8,4.4,11.2,39.1,1.0,3.2,30.4,3.1,3.5,89.3,0.3,4.0,4.3,7.4,2.9,1.1,0.2,2.4,29.9,6,0,-4.1
7094,20.0,68,29,39,30.4,12.8,4.8,13.3,36.4,1.1,3.4,31.9,2.1,3.1,67.0,0.5,2.9,3.4,5.5,3.2,1.0,0.5,2.1,26.3,4,0,-1.7
7095,25.0,67,10,57,28.4,12.8,4.1,10.6,38.5,2.5,7.2,35.3,2.1,2.6,79.1,1.0,5.3,6.3,1.4,2.1,1.6,0.6,3.5,26.8,7,0,-4.2
7096,30.0,71,27,44,33.4,12.8,5.0,11.3,44.3,1.3,3.4,38.2,1.5,1.8,84.0,0.3,3.4,3.7,2.0,1.2,0.4,0.1,2.0,20.7,1,0,-2.1
7097,24.0,60,40,20,25.9,12.8,5.1,8.9,56.5,0.0,0.0,0.0,2.7,3.6,76.1,3.1,6.1,9.1,0.7,1.4,0.4,1.3,2.6,28.6,22,0,2.4
7098,27.0,20,10,10,18.1,12.8,5.4,10.3,52.2,0.2,0.5,33.3,1.9,2.5,77.6,1.5,3.5,4.9,0.8,1.2,0.6,0.5,2.0,21.6,1,0,-3.4
7099,27.0,77,51,26,33.7,12.7,4.6,6.6,70.3,0.0,0.0,0.0,3.5,8.0,43.0,3.5,10.3,13.8,1.2,1.4,0.7,2.3,2.7,38.5,49,0,5.7
7100,22.0,7,5,2,29.2,12.7,4.7,8.7,54.1,0.4,1.0,42.9,2.9,4.1,69.0,1.7,4.7,6.4,1.3,1.1,0.4,0.4,1.3,23.8,2,0,8.3
7101,24.0,82,55,27,21.0,12.7,5.0,8.8,57.6,0.1,0.3,47.6,2.4,3.1,79.7,3.0,5.1,8.1,0.4,1.4,0.3,0.4,2.0,23.7,25,0,1.5
7102,31.0,81,40,41,35.3,12.7,4.4,10.6,41.6,2.3,6.2,37.1,1.6,2.0,78.3,0.8,3.7,4.5,2.3,1.4,2.0,0.3,2.2,27.1,1,0,0.5
7103,27.0,77,16,61,29.1,12.6,5.2,12.6,41.1,0.7,2.2,32.9,1.6,2.3,69.3,0.6,3.4,4.0,6.5,2.3,1.1,0.3,1.7,29.2,12,0,-4.5
7104,26.0,78,54,24,32.1,12.6,5.3,11.1,47.9,0.8,2.4,32.6,1.2,1.6,75.2,1.8,5.0,6.8,0.8,1.4,0.5,1.9,2.7,27.8,9,0,6.8
7105,29.0,78,40,38,33.9,12.5,4.2,10.9,38.8,2.4,6.7,36.0,1.6,1.9,86.3,0.3,2.7,3.1,1.9,1.0,1.0,0.2,2.3,21.7,0,0,1.3
7106,26.0,67,26,41,25.3,12.5,5.2,9.3,55.8,0.0,0.0,50.0,2.0,3.3,61.3,3.5,5.2,8.7,1.2,1.4,0.5,0.9,2.5,27.4,21,0,-1.6
7107,30.0,77,53,24,30.7,12.4,4.6,11.0,41.5,2.6,6.6,40.0,0.6,0.9,63.4,0.6,2.3,2.8,1.7,0.8,1.1,0.3,2.6,21.5,1,0,4.0
7108,31.0,74,45,29,32.4,12.3,4.6,10.1,45.5,1.2,3.5,34.4,2.0,2.6,75.5,1.5,4.5,6.0,1.9,1.1,1.0,0.4,1.6,25.4,13,0,0.4
7109,21.0,76,31,45,32.1,12.3,4.7,10.1,46.9,1.4,3.9,35.4,1.4,1.8,82.0,0.7,2.2,2.9,1.9,1.3,1.3,0.2,1.9,21.9,0,0,-2.8
7110,35.0,81,31,50,33.4,12.2,4.7,10.6,43.9,1.5,3.9,38.3,1.5,1.8,83.1,0.6,3.0,3.6,3.9,2.0,0.8,0.0,1.8,22.9,3,0,-0.7
7111,30.0,79,23,56,21.3,12.2,4.2,9.8,42.7,2.3,5.8,39.3,1.5,2.0,77.4,0.7,3.1,3.8,1.1,1.1,0.4,0.3,2.0,19.4,2,0,-2.1
7112,30.0,74,41,33,34.1,12.1,4.4,10.0,44.1,1.7,4.2,40.8,1.5,2.0,76.0,0.8,3.2,4.0,3.5,1.4,1.1,0.2,2.0,24.9,0,0,1.3
7113,31.0,47,33,14,23.3,12.0,5.2,10.7,48.5,0.0,0.0,0.0,1.5,2.4,64.9,1.2,5.2,6.4,1.5,0.7,0.6,0.9,2.5,25.7,7,0,1.0
7114,26.0,64,22,42,25.5,12.0,4.8,11.2,42.5,0.7,2.4,30.3,1.7,2.3,73.5,1.1,4.4,5.5,1.9,2.1,0.9,0.5,2.9,23.7,2,0,-1.4
7115,30.0,72,29,43,35.2,11.9,4.9,10.9,45.4,0.9,2.4,36.5,1.2,2.1,58.0,1.1,5.0,6.0,11.7,3.9,2.0,0.1,2.4,39.1,37,6,-2.1
7116,34.0,72,59,13,27.5,11.9,4.9,9.9,49.3,0.4,0.9,41.5,1.8,2.4,76.0,0.2,2.2,2.4,5.3,1.8,0.8,0.2,1.6,23.6,3,0,5.7
7117,28.0,69,27,42,27.3,11.8,4.3,9.0,48.1,1.6,4.0,40.9,1.5,2.3,64.8,0.8,5.1,5.9,1.4,1.4,0.8,0.2,2.2,22.8,6,0,0.1
7118,25.0,66,37,29,24.9,11.8,3.8,9.2,40.7,2.0,5.2,39.0,2.2,2.7,80.7,0.9,4.6,5.5,1.5,1.5,0.9,0.7,2.3,23.8,5,0,0.6
7119,29.0,64,34,30,22.9,11.8,4.0,9.9,40.9,2.2,6.0,36.7,1.5,1.9,75.0,0.4,2.3,2.7,1.0,1.1,0.8,0.5,2.2,19.3,0,0,0.0
7120,29.0,80,48,32,28.2,11.7,4.4,10.3,43.0,0.8,2.7,31.5,2.1,2.8,74.5,0.9,3.2,4.2,1.7,1.2,0.7,0.5,2.1,21.8,1,0,-0.5
7121,24.0,66,59,7,30.9,11.7,4.5,9.6,46.6,1.2,3.2,38.3,1.5,2.0,76.1,1.2,3.8,4.9,1.8,0.9,0.6,0.2,2.1,21.8,1,0,6.9
